gender,age,race,race_7_TEXT,education,Q1,Q1_5_TEXT,Q2,Q3,Attention Check Q1,AttentionCheck2,Q1,Q2,Q2-1,Q2-2,Q2-2_4_TEXT,Q1,Q2,Q2-read,Q2-not read,Q3,Q3_6_TEXT,Q4,Q48,Q48_6_TEXT,User C&C - Q1,Readability - Q1,Accessibility - Q1,Q56,Q59,location,Q2,Q2_7_TEXT,Attention Check Q3,Q1
What is your gender?,What age group are you?,Please indicate your racial or ethnic background. - Selected Choice,Please indicate your racial or ethnic background. - Other (please specify) - Text,Please specify your level of education.,Which Voice Assistant do you use? / Which Voice Assistant did you use before? (Please select all that you've used) - Selected Choice,Which Voice Assistant do you use? / Which Voice Assistant did you use before? (Please select all that you've used) - Other Voice Assistants (Please provide the name) - Text,How long have you been using Voice Assistant?,How often do you use a Voice Assistant?,Please choose the definition of a privacy policy.,What is the name of Amazon Alexa's voice application?,Do you know skills may collect your personal information?,Do you think the skill in the above video collects your personal information?,What personal information does it collect? (Select all that apply),Please choose the reason why you don't think name or phone number is your personal information. - Selected Choice,Please choose the reason why you don't think name or phone number is your personal information. - Others - Text,Are you aware that the Amazon platform requires skills to provide a privacy policy if they collect your personal information?,Have you ever read the privacy policy of any skill?,How much time did you spend reading a single privacy policy?,"Based on the above two examples, how long do you anticipate spending on reading each privacy policy?","When reading a privacy policy, do you find it challenging? Please specify the difficulties you encounter. (Select all that apply) - Selected Choice","When reading a privacy policy, do you find it challenging? Please specify the difficulties you encounter. (Select all that apply) - Others - Text","After reviewing the provided privacy policy examples, do you believe that presenting the privacy policy in a shorter, more easily understandable, and accessible manner would help you better understand privacy policies?","In this audio, we introduce a method to inform users about data collection, which we call it ""Privacy Notice through Voice"".
 

 Do you think ""Privacy Notice through Voice"" offers a better way to notify users about their privacy? - Selected Choice","In this audio, we introduce a method to inform users about data collection, which we call it ""Privacy Notice through Voice"".
 

 Do you think ""Privacy Notice through Voice"" offers a better way to notify users about their privacy? - No - Please provide your opinions. - Text","User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.
 

 

 

 Which audio, the first or the second, do you think better presents the idea of User Control and Consent? To assist your understanding, the following figure is a screenshot of the visual representation of the first and second audio.","Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.
 

 

 

 Which audio, the first or the second, do you think better presents the idea of readability? To assist your understanding, the following figure is a screenshot of the visual representation of the first and second audio.","Accessibility: Conversation-friendly with Alexa, prioritizing auditory information for enhanced usability, especially for the visually impaired individuals.
 

 

 Which video, first or second, do you believe better presents the idea of accessibility?",Do you think people with visual impairments can complete all the steps in the second video?,Do you think the first video (Privacy Notice through Voice) can assist people with visual impairments in understanding the data collection process?,"Which location is better?
 

 Figure 1: Privacy notice at the beginning.
 

 Figure 2: You can ask about the skill at any time by saying 'tell me what data is collected'.
 

 Figure 3: Privacy notice at the end.","After listening to the above audio clips and watching the above videos, what aspects of the tool's functionality would you be most cared about? (Select all that apply) - Selected Choice","After listening to the above audio clips and watching the above videos, what aspects of the tool's functionality would you be most cared about? (Select all that apply) - Others - Please provide your opinion. - Text","In this survey, we present a method to inform users about data collection. What do we call it?","Do you have any recommendations regarding the structure and format of ""Privacy Notice through Voice""?"
Female,26 - 35,Asian/Pacific Islander,,Bachelor's Degree,"Amazon Alexa,Google Home",,Over 3 years,Serval times a week,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Start date,Phone number",,,Yes,No,,Less than 5 min,"Too lengthy, takes too much time to read.",,Yes,Yes,,First,First,First,No,Yes,,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,Accessibility: Conversation-friendly with Alexa, prioritizing auditory information for enhanced usability, especially for the people with visual impairments.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms., Completeness: Completely summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,no
Female,36 - 65,African American/Black,,Bachelor's Degree,Google Home,,Over 3 years,Multiple times per day,A document specifying the collection and usage of personal information,Skill,Maybe,Yes,"Name,Start date,Phone number",,,Yes,No,,More than 30 minutes,"Too lengthy, takes too much time to read.,Use of legal terminology, making the content difficult to comprehend.,Difficult to locate essential information, such as personal data collection.",,Yes,Yes,,First,First,First,Maybe,Yes,,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,Compliance with Regulations: Whether this skill is compliant with relevant data protection laws and regulations (e.g., GDPR, CCPA), especially for sensitive data related to children and health.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.,Precision: Accurately summarize how user data is collected without hiding or omit., Completeness: Completely summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,NA
Female,26 - 35,Asian/Pacific Islander,,Master's Degree,Amazon Alexa,,2 - 3 years,Multiple times per day,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Start date,Phone number",,,Yes,No,,5-10 min,"Too lengthy, takes too much time to read.,Use of legal terminology, making the content difficult to comprehend.",,Yes,Yes,,First,First,First,No,Yes,,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,Compliance with Regulations: Whether this skill is compliant with relevant data protection laws and regulations (e.g., GDPR, CCPA), especially for sensitive data related to children and health.,Accessibility: Conversation-friendly with Alexa, prioritizing auditory information for enhanced usability, especially for the people with visual impairments.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.,Precision: Accurately summarize how user data is collected without hiding or omit., Completeness: Completely summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,none
Male,26 - 35,Caucasian/White,,Bachelor's Degree,Google Home,,2 - 3 years,Once a week,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Start date,Phone number",,,No,No,,Less than 5 min,"Too lengthy, takes too much time to read.,Use of legal terminology, making the content difficult to comprehend.",,Maybe,Yes,,First,First,First,No,Yes,,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Precision: Accurately summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,none
Male,26 - 35,Caucasian/White,,Bachelor's Degree,Amazon Alexa,,Over 3 years,Multiple times per day,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Start date,Phone number",,,Yes,No,,10-30 min,"Too lengthy, takes too much time to read.,Difficult to locate essential information, such as personal data collection.",,Yes,Yes,,First,First,First,No,Yes,,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,Accessibility: Conversation-friendly with Alexa, prioritizing auditory information for enhanced usability, especially for the people with visual impairments.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.,Precision: Accurately summarize how user data is collected without hiding or omit., Completeness: Completely summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,none
Male,36 - 65,Caucasian/White,,Master's Degree,Amazon Alexa,,Over 3 years,Serval times a week,A document specifying the collection and usage of personal information,Skill,No,Yes,"Name,Start date,Phone number",,,Yes,No,,Less than 5 min,"Too lengthy, takes too much time to read.,Use of legal terminology, making the content difficult to comprehend.,Difficult to locate essential information, such as personal data collection.",,Yes,Yes,,First,First,First,No,Yes,,"Accessibility: Conversation-friendly with Alexa, prioritizing auditory information for enhanced usability, especially for the people with visual impairments.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.,Precision: Accurately summarize how user data is collected without hiding or omit., Completeness: Completely summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,"I think that it needs to be a little more comprehensive, and outline if there are multiple sections."
Female,Over 65,Caucasian/White,,Master's Degree,Amazon Alexa,,Over 3 years,Multiple times per day,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Start date,Phone number",,,Yes,No,,10-30 min,"Too lengthy, takes too much time to read.,Difficult to locate essential information, such as personal data collection.,Lack of accessibility features for those who prefer or require auditory information.",,Yes,Yes,,First,Second,Second,Maybe,Yes,,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,Compliance with Regulations: Whether this skill is compliant with relevant data protection laws and regulations (e.g., GDPR, CCPA), especially for sensitive data related to children and health.,Accessibility: Conversation-friendly with Alexa, prioritizing auditory information for enhanced usability, especially for the people with visual impairments.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities., Completeness: Completely summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,Make it simple.
Male,26 - 35,Caucasian/White,,Bachelor's Degree,Amazon Alexa,,1 - 2 years,Once a week,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Start date,Phone number",,,Yes,No,,5-10 min,"Too lengthy, takes too much time to read.,Use of legal terminology, making the content difficult to comprehend.,Difficult to locate essential information, such as personal data collection.",,Yes,Yes,,First,First,First,Maybe,Yes,,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,Compliance with Regulations: Whether this skill is compliant with relevant data protection laws and regulations (e.g., GDPR, CCPA), especially for sensitive data related to children and health.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.",,Privacy Notice through Voice,No
Male,36 - 65,Caucasian/White,,Bachelor's Degree,"Amazon Alexa,Google Home",,Over 3 years,Daily,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Start date,Phone number",,,No,No,,5-10 min,"Too lengthy, takes too much time to read.",,Yes,Yes,,First,First,First,No,Yes,,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.,Precision: Accurately summarize how user data is collected without hiding or omit., Completeness: Completely summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,Only that I wish it was a little faster to listen to.
